obstacle-1-dense.html:30 -	time	id	type	x	y
obstacle-1-dense.html:131 -	730	101	2	77.46499999999997	73.76999999999997
obstacle-1-dense.html:131 -	740	101	2	77.00497512437813	73.84079601990054
obstacle-1-dense.html:131 -	750	101	2	76.67	73.84000000000002
obstacle-1-dense.html:131 -	760	101	2	76.46000000000004	73.98999999999997
obstacle-1-dense.html:131 -	770	101	2	76.24257425742574	74.0990099009901
obstacle-1-dense.html:131 -	780	101	2	75.87064676616913	74.40796019900502
obstacle-1-dense.html:131 -	790	101	2	75.64851485148515	75.16831683168317
obstacle-1-dense.html:131 -	800	101	2	75.76119402985074	75.9353233830846
obstacle-1-dense.html:131 -	810	101	2	75.69154228855722	76.17412935323384
obstacle-1-dense.html:131 -	820	101	2	75.81999999999996	75.9
obstacle-1-dense.html:131 -	830	101	2	75.77114427860693	75.74626865671642
