50-cells.html:30 -	time	id	type	x	y
50-cells.html:128 -	20	35	1	7.793103448275863	50.679802955665
50-cells.html:128 -	20	36	1	118.81094527363184	108.78606965174133
50-cells.html:128 -	20	37	1	55.44554455445548	113.41584158415841
50-cells.html:128 -	20	38	1	111.20297029702975	57.20792079207918
50-cells.html:128 -	20	39	1	138.75124378109456	52.57711442786073
50-cells.html:128 -	20	40	1	56.63366336633663	127.00990099009906
50-cells.html:128 -	20	41	1	142.77611940298507	86.23880597014924
50-cells.html:128 -	20	42	1	13.118811881188115	81.72772277227727
50-cells.html:128 -	20	43	1	3.445544554455445	83.39603960396039
50-cells.html:128 -	20	44	1	41.7029702970297	33.747524752475265
50-cells.html:128 -	20	45	1	56.772277227722775	42.60396039603959
50-cells.html:128 -	20	46	1	70.39108910891092	118.25247524752477
50-cells.html:128 -	20	47	1	99.92610837438424	20.128078817733996
50-cells.html:128 -	20	48	1	97.22277227722773	88.75247524752473
50-cells.html:128 -	20	49	1	83.89162561576354	16.172413793103456
50-cells.html:128 -	20	50	1	12.606965174129355	110.63184079601994
50-cells.html:128 -	30	1	1	72.76119402985074	67.66169154228858
50-cells.html:128 -	30	2	1	1.1691542288557215	130.55223880597018
50-cells.html:128 -	30	3	1	78.59701492537313	77.71641791044773
50-cells.html:128 -	30	4	1	18.144278606965173	37.06467661691543
50-cells.html:128 -	30	5	1	8.277227722772274	30.816831683168314
50-cells.html:128 -	30	6	1	100.910447761194	5.940298507462686
50-cells.html:128 -	30	7	1	72.11442786069657	11.850746268656705
50-cells.html:128 -	30	8	1	139.2686567164177	74.49751243781095
50-cells.html:128 -	30	9	1	98.57711442786061	136.40298507462683
50-cells.html:128 -	30	10	1	133.62376237623752	67.28712871287124
50-cells.html:128 -	30	11	1	106.94029850746264	115.36815920398007
50-cells.html:128 -	30	12	1	123.08457711442782	43.5223880597015
50-cells.html:128 -	30	13	1	125.8805970149254	142.42786069651748
50-cells.html:128 -	30	14	1	126.01492537313433	129.00000000000014
50-cells.html:128 -	30	15	1	146.28358208955223	43.95024875621891
50-cells.html:128 -	30	16	1	58.879999999999974	19.505000000000013
50-cells.html:128 -	30	17	1	74.08955223880595	58.2686567164179
50-cells.html:128 -	30	18	1	47.12871287128715	50.79207920792079
50-cells.html:128 -	30	19	1	92.78999999999998	123.23499999999997
50-cells.html:128 -	30	20	1	143.64356435643563	18.757425742574263
50-cells.html:128 -	30	21	1	23.559405940594054	86.63861386138615
50-cells.html:128 -	30	22	1	111.48756218905473	146.0149253731344
50-cells.html:128 -	30	23	1	41.29	127.72999999999993
50-cells.html:128 -	30	24	1	43.21393034825874	3.6417910447761197
50-cells.html:128 -	30	25	1	111.82673267326734	131.3712871287128
50-cells.html:128 -	30	26	1	5.193069306930693	16.113861386138616
50-cells.html:128 -	30	27	1	80.08457711442783	111.49253731343289
50-cells.html:128 -	30	28	1	126.81683168316835	58.94059405940594
50-cells.html:128 -	30	29	1	56.64676616915424	84.50248756218909
50-cells.html:128 -	30	30	1	30.55223880597015	139.62686567164192
50-cells.html:128 -	30	31	1	65.22388059701494	79.94029850746273
50-cells.html:128 -	30	32	1	81.910447761194	149.3084577114428
50-cells.html:128 -	30	33	1	54.23762376237622	30.163366336633654
50-cells.html:128 -	30	34	1	147.6138613861386	99.23267326732676
50-cells.html:128 -	30	35	1	8.25870646766169	50.273631840796014
50-cells.html:128 -	30	36	1	118.66666666666667	108.48258706467661
50-cells.html:128 -	30	37	1	55.98514851485147	113.52475247524757
50-cells.html:128 -	30	38	1	111.98500000000003	58.029999999999994
50-cells.html:128 -	30	39	1	139.06435643564345	52.252475247524764
50-cells.html:128 -	30	40	1	55.686567164179095	126.86567164179107
50-cells.html:128 -	30	41	1	143.25247524752476	87.01485148514851
50-cells.html:128 -	30	42	1	13.178217821782185	81.90594059405942
50-cells.html:128 -	30	43	1	3.4306930693069297	83.34158415841588
50-cells.html:128 -	30	44	1	41.267326732673276	33.78712871287128
50-cells.html:128 -	30	45	1	56.10447761194031	42.20895522388061
50-cells.html:128 -	30	46	1	70.5024875621891	118.22885572139302
50-cells.html:128 -	30	47	1	99.7313432835821	19.950248756218897
50-cells.html:128 -	30	48	1	97.71144278606965	89.14925373134328
50-cells.html:128 -	30	49	1	83.88557213930352	16.34825870646766
50-cells.html:128 -	30	50	1	12.158415841584157	111.34653465346533
50-cells.html:128 -	40	1	1	72.70149253731343	67.91044776119399
50-cells.html:128 -	40	2	1	1.920398009950246	130.66666666666669
50-cells.html:128 -	40	3	1	78.63681592039804	78.00497512437818
50-cells.html:128 -	40	4	1	17.835820895522392	37.93532338308458
50-cells.html:128 -	40	5	1	7.846534653465349	31.272277227722753
50-cells.html:128 -	40	6	1	101.26000000000002	6.004999999999998
50-cells.html:128 -	40	7	1	70.88613861386139	11.608910891089115
50-cells.html:128 -	40	8	1	139.13432835820893	74.47761194029852
50-cells.html:128 -	40	9	1	99.28855721393033	135.9253731343283
50-cells.html:128 -	40	10	1	133.7475247524752	66.96039603960398
50-cells.html:128 -	40	11	1	107.01	115.09500000000003
50-cells.html:128 -	40	12	1	122.79702970297032	43.22772277227722
50-cells.html:128 -	40	13	1	126.23383084577114	142.95024875621888
50-cells.html:128 -	40	14	1	126.44776119402991	128.8756218905471
50-cells.html:128 -	40	15	1	146.28855721393035	43.6716417910448
50-cells.html:128 -	40	16	1	60.11881188118813	21.30198019801981
50-cells.html:128 -	40	17	1	74.28358208955223	58.099502487562205
50-cells.html:128 -	40	18	1	44.41499999999999	51.365
50-cells.html:128 -	40	19	1	93.26368159203983	123.17910447761193
50-cells.html:128 -	40	20	1	143.91542288557213	19.87562189054726
50-cells.html:128 -	40	21	1	23.880597014925367	85.40796019900492
50-cells.html:128 -	40	22	1	111.65000000000006	145.89999999999998
50-cells.html:128 -	40	23	1	40.8507462686567	127.44278606965172
50-cells.html:128 -	40	24	1	43.537313432835816	3.5273631840796034
50-cells.html:128 -	40	25	1	112.47263681592038	132.00000000000014
50-cells.html:128 -	40	26	1	5.293532338308459	16.522388059701488
50-cells.html:128 -	40	27	1	80.47500000000001	112.64499999999998
50-cells.html:128 -	40	28	1	126.60891089108908	58.21287128712869
50-cells.html:128 -	40	29	1	55.88557213930347	84.54228855721391
50-cells.html:128 -	40	30	1	30.577114427860693	139.4328358208954
50-cells.html:128 -	40	31	1	65.295	80.75000000000004
50-cells.html:128 -	40	32	1	80.20895522388051	148.9452736318408
50-cells.html:128 -	40	33	1	53.895	30.275000000000006
50-cells.html:128 -	40	34	1	146.92	98.99999999999997
50-cells.html:128 -	40	35	1	8.442786069651746	49.79104477611936
50-cells.html:128 -	40	36	1	118.14925373134334	108.2835820895522
