50-sparse-2.html:30 -	time	id	type	x	y
50-sparse-2.html:128 -	180	34	1	140.23880597014926	112.26865671641788
50-sparse-2.html:128 -	180	35	1	17.592039800995018	44.686567164179095
50-sparse-2.html:128 -	180	36	1	110.13500000000002	95.61000000000003
50-sparse-2.html:128 -	180	37	1	34.99004975124375	122.07960199004971
50-sparse-2.html:128 -	180	38	1	115.90547263681592	54.73134328358206
50-sparse-2.html:128 -	180	39	1	3.7192118226600983	55.55665024630544
50-sparse-2.html:128 -	180	40	1	46.29702970297029	123.01980198019807
50-sparse-2.html:128 -	180	41	1	143.6766169154229	103
50-sparse-2.html:128 -	180	42	1	4.626865671641792	87.49253731343285
50-sparse-2.html:128 -	180	43	1	0.9502487562189063	76.34825870646765
50-sparse-2.html:128 -	180	44	1	34.56218905472635	21.781094527363166
50-sparse-2.html:128 -	180	45	1	46.768472906403936	27.034482758620694
50-sparse-2.html:128 -	180	46	1	58.19801980198017	121.02970297029704
50-sparse-2.html:128 -	180	47	1	118.85714285714289	20.014778325123167
50-sparse-2.html:128 -	180	48	1	88.26865671641791	90.37313432835822
50-sparse-2.html:128 -	180	49	1	97.45544554455444	14.391089108910892
50-sparse-2.html:128 -	180	50	1	6.876237623762375	98.47524752475242
50-sparse-2.html:128 -	190	1	1	69.88059701492539	63.17910447761195
50-sparse-2.html:128 -	190	2	1	18.811881188118814	117.23267326732677
50-sparse-2.html:128 -	190	3	1	65.60199004975127	82.21890547263682
50-sparse-2.html:128 -	190	4	1	30.029999999999998	32.420000000000016
50-sparse-2.html:128 -	190	5	1	15.60199004975124	32.99999999999996
50-sparse-2.html:128 -	190	6	1	109.00990099009898	12.183168316831686
50-sparse-2.html:128 -	190	7	1	73.08955223880601	3.0845771144278595
50-sparse-2.html:128 -	190	8	1	141.455	72.36500000000001
50-sparse-2.html:128 -	190	9	1	102.59900990099017	148.8861386138614
50-sparse-2.html:128 -	190	10	1	141.72277227722773	57.628712871287114
50-sparse-2.html:128 -	190	11	1	117.39901477832511	104.50246305418719
50-sparse-2.html:128 -	190	12	1	127.63861386138613	57.96534653465348
50-sparse-2.html:128 -	190	13	1	113.08910891089108	129.92079207920787
50-sparse-2.html:128 -	190	14	1	116.00500000000004	118.97499999999997
50-sparse-2.html:128 -	190	15	1	148.61194029850745	42.761194029850735
50-sparse-2.html:128 -	190	16	1	66.28855721393036	8.646766169154228
50-sparse-2.html:128 -	190	17	1	64.13930348258707	70.93034825870652
50-sparse-2.html:128 -	190	18	1	34.43999999999999	48.879999999999974
50-sparse-2.html:128 -	190	19	1	95.11386138613865	142.4950495049505
50-sparse-2.html:128 -	190	20	1	6.900990099009901	16.28712871287128
50-sparse-2.html:128 -	190	21	1	18.5841584158416	85.6980198019802
50-sparse-2.html:128 -	190	22	1	117.74257425742572	1.698019801980223
50-sparse-2.html:128 -	190	23	1	36.99504950495049	142.85643564356428
50-sparse-2.html:128 -	190	24	1	53.28571428571429	146.42857142857142
50-sparse-2.html:128 -	190	25	1	103.48258706467654	121.82587064676613
50-sparse-2.html:128 -	190	26	1	7.393034825870642	26.711442786069664
50-sparse-2.html:128 -	190	27	1	63.16336633663366	111.36633663366342
50-sparse-2.html:128 -	190	28	1	128.3910891089109	72.32673267326726
50-sparse-2.html:128 -	190	29	1	46.98522167487683	65.92610837438421
50-sparse-2.html:128 -	190	30	1	40.44278606965176	7.547263681592041
50-sparse-2.html:128 -	190	31	1	55.33830845771142	85.57213930348259
50-sparse-2.html:128 -	190	32	1	82.00500000000002	0.980000000000075
50-sparse-2.html:128 -	190	33	1	54.217821782178206	13.326732673267315
50-sparse-2.html:128 -	190	34	1	139.73267326732673	112.85148514851493
50-sparse-2.html:128 -	190	35	1	18.781094527363194	44.07462686567163
50-sparse-2.html:128 -	190	36	1	109.73134328358209	95.50248756218906
