the-wall-v2-black.html:30 -	time	id	type	x	y	below wall
the-wall-v2-black.html:158 -	1000	21	2	138.43069306930687	63.1485148514851	false
the-wall-v2-black.html:158 -	1000	22	2	35.179104477611936	42.80099502487563	false
the-wall-v2-black.html:158 -	1000	23	2	6.467661691542288	57.32338308457714	false
the-wall-v2-black.html:158 -	1000	24	2	137.0049751243781	26.885572139303466	false
the-wall-v2-black.html:158 -	1000	25	2	91.02487562189054	36.16915422885574	false
the-wall-v2-black.html:158 -	1000	26	2	122.33168316831684	34.8069306930693	false
the-wall-v2-black.html:158 -	1000	27	2	106.94527363184079	29.73134328358209	false
the-wall-v2-black.html:158 -	1000	28	2	138.86567164179098	5.79601990049751	false
the-wall-v2-black.html:158 -	1000	29	2	103.90547263681592	60.09950248756219	false
the-wall-v2-black.html:158 -	1000	30	2	64.21890547263682	24.616915422885572	false
the-wall-v2-black.html:158 -	1000	31	2	21.980198019801968	50.2178217821782	false
the-wall-v2-black.html:158 -	1000	32	2	61.00999999999998	8.159999999999995	false
the-wall-v2-black.html:158 -	1000	33	2	20.77114427860695	35.14427860696516	false
the-wall-v2-black.html:158 -	1000	34	2	49.422885572139315	49.34328358208955	false
the-wall-v2-black.html:158 -	1000	35	2	9.154228855721389	43.134328358208954	false
the-wall-v2-black.html:158 -	1000	36	2	4.517412935323383	13.512437810945272	false
the-wall-v2-black.html:158 -	1000	37	2	60.796019900497505	64.74626865671647	false
the-wall-v2-black.html:158 -	1000	38	2	80.7810945273632	12.144278606965177	false
the-wall-v2-black.html:158 -	1000	39	2	44.9203980099502	4.870646766169154	false
the-wall-v2-black.html:158 -	1000	40	2	44.293532338308474	33.507462686567166	false
the-wall-v2-black.html:158 -	1000	41	2	35.731343283582106	58.56716417910448	false
the-wall-v2-black.html:158 -	1000	42	2	121.90049751243785	20.11940298507464	false
the-wall-v2-black.html:158 -	1000	43	2	47.8109452736318	62.8457711442786	false
the-wall-v2-black.html:158 -	1000	44	2	58.84577114427859	38.6318407960199	false
the-wall-v2-black.html:158 -	1000	45	2	20.099502487562194	5.641791044776121	false
the-wall-v2-black.html:158 -	1000	46	2	120.72636815920394	62.064676616915385	false
the-wall-v2-black.html:158 -	1000	47	2	5.228855721393038	28.74626865671642	false
the-wall-v2-black.html:158 -	1000	48	2	125.44000000000007	5.660000000000001	false
the-wall-v2-black.html:158 -	1000	49	2	113.134328358209	9.93532338308458	false
the-wall-v2-black.html:158 -	1000	50	2	142.83000000000004	16.454999999999984	false
the-wall-v2-black.html:158 -	1000	51	2	136.3283582089552	44.91044776119404	false
the-wall-v2-black.html:158 -	1000	52	2	117.63861386138619	49.87623762376238	false
the-wall-v2-black.html:158 -	1000	53	2	74.28358208955223	22.9452736318408	false
the-wall-v2-black.html:158 -	1000	54	2	17.71144278606966	22.93532338308459	false
the-wall-v2-black.html:158 -	1000	55	2	20.43000000000002	62.389999999999986	false
the-wall-v2-black.html:158 -	1000	56	2	99.36318407960202	16.726368159203975	false
the-wall-v2-black.html:158 -	1000	57	2	141.59	36.260000000000026	false
the-wall-v2-black.html:158 -	1000	58	2	77.48756218905471	58.30845771144278	false
the-wall-v2-black.html:158 -	1000	59	2	76.92039800995019	3.5920398009950256	false
the-wall-v2-black.html:158 -	1000	60	2	100.5445544554455	5.891089108910891	false
the-wall-v2-black.html:158 -	1000	61	2	40.731343283582085	15.13930348258707	false
the-wall-v2-black.html:158 -	1000	62	2	94.64	51.199999999999996	false
the-wall-v2-black.html:158 -	1000	63	2	21.243781094527378	8.965174129353239	false
