obstacle-50-dense-2.html:30 -	time	id	type	x	y
obstacle-50-dense-2.html:131 -	30	137	2	56.80999999999999	113.17500000000003
obstacle-50-dense-2.html:131 -	30	138	2	104.41999999999997	55.025
obstacle-50-dense-2.html:131 -	30	139	2	139.10062893081746	55.06918238993708
obstacle-50-dense-2.html:131 -	30	140	2	55.94	132.12500000000006
obstacle-50-dense-2.html:131 -	30	141	2	144.70303030303032	87.48484848484844
obstacle-50-dense-2.html:131 -	30	142	2	20.312849162011172	85.24022346368712
obstacle-50-dense-2.html:131 -	30	143	2	13.298429319371726	71.81151832460733
obstacle-50-dense-2.html:131 -	30	144	2	39.759999999999984	29.675000000000008
obstacle-50-dense-2.html:131 -	30	145	2	58.28855721393032	40.66169154228856
obstacle-50-dense-2.html:131 -	30	146	2	72.05940594059409	122.65841584158412
obstacle-50-dense-2.html:131 -	30	147	2	103.19796954314717	24.705583756345185
obstacle-50-dense-2.html:131 -	30	148	2	100.41379310344826	88.02955665024635
obstacle-50-dense-2.html:131 -	30	149	2	86.81122448979589	20.21428571428571
obstacle-50-dense-2.html:131 -	30	150	2	12.587939698492459	107.6733668341709
obstacle-50-dense-2.html:131 -	40	101	2	85.53499999999997	72.14499999999994
obstacle-50-dense-2.html:131 -	40	102	2	149.76	135.665
obstacle-50-dense-2.html:131 -	40	103	2	73.40594059405942	73.11881188118811
obstacle-50-dense-2.html:131 -	40	104	2	24.26865671641791	41.51741293532338
obstacle-50-dense-2.html:131 -	40	105	2	11.7035175879397	34.49246231155781
obstacle-50-dense-2.html:131 -	40	106	2	103.76381909547737	9.753768844221112
obstacle-50-dense-2.html:131 -	40	107	2	69.36868686868688	8.222222222222214
obstacle-50-dense-2.html:131 -	40	108	2	133.27918781725887	74.61421319796953
obstacle-50-dense-2.html:131 -	40	109	2	87.44500000000001	134.68500000000003
obstacle-50-dense-2.html:131 -	40	110	2	130.7105263157894	63.69473684210527
obstacle-50-dense-2.html:131 -	40	111	2	107.92039800995029	115.09452736318407
obstacle-50-dense-2.html:131 -	40	112	2	118.6716417910447	38.587064676616905
obstacle-50-dense-2.html:131 -	40	113	2	122.51758793969857	148.01005025125627
obstacle-50-dense-2.html:131 -	40	114	2	127.17910447761196	124.46268656716418
obstacle-50-dense-2.html:131 -	40	115	2	142.05699481865284	43.601036269430054
obstacle-50-dense-2.html:131 -	40	116	2	53.53500000000001	15.635000000000007
obstacle-50-dense-2.html:131 -	40	117	2	71.33168316831691	56.0049504950495
obstacle-50-dense-2.html:131 -	40	118	2	42.84499999999999	48.03999999999999
obstacle-50-dense-2.html:131 -	40	119	2	89.75621890547266	117.91542288557213
obstacle-50-dense-2.html:131 -	40	121	2	13.617346938775507	93.38775510204086
obstacle-50-dense-2.html:131 -	40	122	2	107.42131979695428	141.4111675126903
