the-wall-black.html:30 -	time	id	type	x	y	below wall
the-wall-black.html:156 -	1000	22	2	28.049751243781095	24.84079601990048	false
the-wall-black.html:156 -	1000	23	2	26.490099009900987	42.26732673267325	false
the-wall-black.html:156 -	1000	24	2	97.87064676616919	28.3681592039801	false
the-wall-black.html:156 -	1000	25	2	73	50.12935323383085	false
the-wall-black.html:156 -	1000	26	2	89.88613861386142	18.732673267326742	false
the-wall-black.html:156 -	1000	27	2	118.02475247524755	38.19801980198021	false
the-wall-black.html:156 -	1000	28	2	105.76732673267327	5.772277227722774	false
the-wall-black.html:156 -	1000	29	2	13.517412935323383	7.631840796019903	false
the-wall-black.html:156 -	1000	30	2	127.53233830845772	61.64676616915424	false
the-wall-black.html:156 -	1000	31	2	94.99502487562185	78.08955223880594	true
the-wall-black.html:156 -	1000	32	2	53.108910891089096	16.920792079207928	false
the-wall-black.html:156 -	1000	33	2	96.60696517412929	62.517412935323385	false
the-wall-black.html:156 -	1000	34	2	65.24752475247521	8.732673267326732	false
the-wall-black.html:156 -	1000	35	2	79.10447761194031	11.109452736318406	false
the-wall-black.html:156 -	1000	36	2	126.47500000000005	45.144999999999975	false
the-wall-black.html:156 -	1000	37	2	107.93532338308464	14.915422885572138	false
the-wall-black.html:156 -	1000	38	2	143.24378109452732	60.74129353233831	false
the-wall-black.html:156 -	1000	39	2	84.00995024875625	74.61194029850745	false
the-wall-black.html:156 -	1000	40	2	139.37313432835836	8.223880597014919	false
the-wall-black.html:156 -	1000	41	2	133.12437810945264	27.766169154228866	false
the-wall-black.html:156 -	1000	42	2	52.14925373134325	39.48258706467661	false
the-wall-black.html:156 -	1000	43	2	25.422885572139304	7.676616915422885	false
the-wall-black.html:156 -	1000	44	2	94.87562189054731	50.308457711442784	false
the-wall-black.html:156 -	1000	45	2	10.492537313432843	22.930348258706477	false
the-wall-black.html:156 -	1000	46	2	101.88059701492534	39.870646766169166	false
the-wall-black.html:156 -	1000	47	2	9.575000000000003	42.129999999999995	false
the-wall-black.html:156 -	1000	48	2	74.1542288557214	75.73631840796017	true
the-wall-black.html:156 -	1000	49	2	7.671641791044776	53.24378109452739	false
the-wall-black.html:156 -	1000	50	2	42.30845771144277	24.05970149253731	false
the-wall-black.html:156 -	1000	51	2	136.66169154228862	10.029850746268655	false
the-wall-black.html:156 -	1000	52	2	121.3432835820895	12.338308457711447	false
the-wall-black.html:156 -	1000	53	2	49.2029702970297	3.504950495049506	false
the-wall-black.html:156 -	1000	54	2	13.155778894472355	60.73869346733665	false
the-wall-black.html:156 -	1000	55	2	38.44776119402987	11.059701492537318	false
the-wall-black.html:156 -	1000	56	2	69.80693069306935	37.57425742574259	false
the-wall-black.html:156 -	1000	57	2	87.32999999999994	3.7499999999999973	false
the-wall-black.html:156 -	1000	58	2	63.388059701492544	55.089552238805965	false
the-wall-black.html:156 -	1000	59	2	26.184079601990057	57.89054726368159	false
the-wall-black.html:156 -	1000	60	2	11.46766169154229	32.557213930348254	false
the-wall-black.html:156 -	1000	61	2	73.70646766169155	23.054726368159216	false
the-wall-black.html:156 -	1000	62	2	84.60696517412933	36.71144278606964	false
the-wall-black.html:156 -	1000	63	2	59.85999999999995	29.224999999999998	false
the-wall-black.html:156 -	1000	64	2	5.154228855721392	12.184079601990048	false
the-wall-black.html:156 -	1000	65	2	113.70646766169153	26.835820895522403	false
the-wall-black.html:156 -	1000	66	2	82.42786069651739	56.940298507462664	false
the-wall-black.html:156 -	1000	67	2	138.2736318407959	17.462686567164184	false
the-wall-black.html:156 -	1000	68	2	38.34825870646763	38.601990049751244	false
the-wall-black.html:156 -	1000	19	2	124.32338308457709	27.064676616915442	false
the-wall-black.html:156 -	1000	20	2	50.29353233830844	59.50248756218906	false
the-wall-black.html:156 -	1000	21	2	89.41293532338305	63.547263681592014	false
the-wall-black.html:156 -	1000	22	2	72.00000000000004	62.76000000000002	false
the-wall-black.html:156 -	1000	23	2	141.86567164179098	12.333333333333336	false
the-wall-black.html:156 -	1000	24	2	5.626865671641794	15.074626865671627	false
the-wall-black.html:156 -	1000	25	2	41.70646766169152	19.263681592039795	false
the-wall-black.html:156 -	1000	26	2	88.53233830845775	12.109452736318406	false
the-wall-black.html:156 -	1000	27	2	24.195000000000004	10.215000000000003	false
the-wall-black.html:156 -	1000	28	2	63.61691542288558	11.701492537313433	false
the-wall-black.html:156 -	1000	29	2	35.24875621890544	62.36815920398011	false
the-wall-black.html:156 -	1000	30	2	5.776119402985072	16.507462686567166	false
the-wall-black.html:156 -	1000	31	2	5.484999999999997	56.344999999999985	false
the-wall-black.html:156 -	1000	32	2	44.84079601990049	31.20398009950249	false
the-wall-black.html:156 -	1000	33	2	91.80099502487566	3.393034825870646	false
the-wall-black.html:156 -	1000	34	2	5.975124378109454	41.08955223880597	false
the-wall-black.html:156 -	1000	35	2	113.29353233830848	9.412935323383083	false
the-wall-black.html:156 -	1000	36	2	27.795	39.61500000000002	false
the-wall-black.html:156 -	1000	37	2	77.09452736318411	45.99999999999997	false
the-wall-black.html:156 -	1000	38	2	86.455	52.860000000000014	false
the-wall-black.html:156 -	1000	39	2	133.1039603960396	53.89603960396039	false
the-wall-black.html:156 -	1000	40	2	73.06467661691548	25.154228855721385	false
the-wall-black.html:156 -	1000	41	2	14.760000000000002	56.55000000000001	false
the-wall-black.html:156 -	1000	42	2	103.02487562189056	30.716417910447763	false
the-wall-black.html:156 -	1000	43	2	65.62686567164184	38.577114427860714	false
the-wall-black.html:156 -	1000	44	2	82.96019900497515	29.89054726368158	false
the-wall-black.html:156 -	1000	45	2	143.2636815920398	42.98009950248755	false
the-wall-black.html:156 -	1000	46	2	56.995024875621894	22.84577114427861	false
the-wall-black.html:156 -	1000	47	2	72.2686567164179	78.05970149253731	true
the-wall-black.html:156 -	1000	48	2	92.56716417910447	36.835820895522346	false
the-wall-black.html:156 -	1000	49	2	24.621890547263686	55.39303482587063	false
the-wall-black.html:156 -	1000	50	2	40.17412935323383	48.4228855721393	false
the-wall-black.html:156 -	1000	51	2	15.315	11.614999999999991	false
the-wall-black.html:156 -	1000	52	2	59.47263681592041	70.82587064676623	false
the-wall-black.html:156 -	1000	53	2	125.32835820895525	4.114427860696518	false
the-wall-black.html:156 -	1000	54	2	144.22772277227725	17.900990099009892	false
